Код пред­прия­тия,Название пред­прия­тия,Краткое название пред­прия­тия
1254,"Общество ограниченной ответственности ""Завод Прогресс""","ООО ""Завод Прогресс"""
1255,"Филиал товарищества с ограниченной ответственностью ""Богатырь Транс""-""Экибастузкое вагонное депо""","ТОО ""Богатырь Транс"""
1256,Локомотивное депо Грязи,Грязи-ТЧ
1257,"Красноярское депо Открытое акционерное общество ""В-Сибпромтранс""","Депо ""В-Сибпромтранс"""
1258,"Открытое акционерное общество ""Желдорсервис""","ОАО ""Желдорсервис"""
1259,"Открытое акционерное общество ""Уралкриомаш""","ОАО ""Уралкриомаш"""
1260,"Открытое акционерное общество ""Текстильмаш""","ОАО ""Текстильмаш"""
1261,"Общество ограниченной ответственности ""Укртрансмаш""","ООО ""Укртрансмаш"""
1262,"Закрытое акционерное общество ""ПромТехноФинанс""","ЗАО ""ПромТехноФинанс"""
1263,"Закрытое акционерное общество ""МогилёвТрансВагон""","ЗАО ""МогилёвТрансВагон"""
1264,"Дочернее предприятие ""Литейно-механический завод"" ГАЖК ""Узбекистон темир йуллари""","ДП ""Литейно-механический завод"""
1265,"Общество ограниченной ответственности ""Вагонное депо ЖДЭ""","ООО ""Вагонное депо ЖДЭ"""
1266,"Федеральное государственное унитарное предприятие ""Уралтрансмаш""","ФГУП ""Уралтрансмаш"""
1267,"Открытого акционерного общества ""КАМАЗ""","ОАО ""КАМАЗ"""
1268,Товарищество с ограниченной ответственностью Ahtme Vagon,ТОО Ahtme Vagon
1269,Эксплуатационное вагонное депо Орёл,ВЧДЭ-21 Орёл
1270,Путевая машинная станция №309 г.Брянск,ПМС №309 г.Брянск
1271,"Закрытое акционерное общество ""ЗНТК-Нерис"" г.Вильнюс","ЗАО ""ЗНТК-Нерис"""
1272,"Общество ограниченной ответственности произвоственное объединение ""Вагонмаш""","ООО ПО ""Вагонмаш"""
1273,"Открытое акционерное общество ""Пассажирские перевозки"" г.Караганда","ОАО ""Пассажирские перевозки"""
1274,"Общество ограниченной ответственности ""Уральское предприятие железнодорожного транспорта""","ООО ""УПЖТ"""
1275,"Открытое акционерное общество ""ВКМ-Сталь""","ОАО ""ВКМ-Сталь"""
1276,"Открытое акционерное общество ""Армавирский завод тяжёлого машиностроения""","ОАО ""АЗТМ"""
1277,"Общество ограниченной ответственности ""Центр рудных перевозок - ВКМ""","ООО ""Центр рудных перевозок - ВКМ"""
1278,"Открытое акционерное общество ""Очерский машиностроительный завод""","ОАО ""Очерский МСЗ"""
1279,"Путевая машинная станция №332 филиал ""Московская железная дорога"" открытое акционерное общество ""РЖД""","ПМС №332 МЖД ОАО ""РЖД"""
1280,"Общество ограниченной ответственности ""Сталь-Трейд"" г.Брянск","ООО ""Сталь-Трейд"""
1281,"Общество ограниченной ответственности ""Трансмаш"" г. Днепропетровск","ООО ""Трансмаш"""
1282,"Общество ограниченной ответственности ""Вагоностроительная компания"" г. Рустави","ООО ""ВМК"""
1283,Общество с ограниченной ответственностью «Машиностроительное предприятие Бурлак»,ООО «МП «Бурлак»
1284,"СЗАО ""Могилёвский вагоностроительный завод""","СЗАО ""Могилёвский ВСЗ"""
1285,"Общество с ограниченной ответственностью ""Вагонное депо Балахонцы""","ООО ""Вагонное депо Балахонцы"""
1286,"Публичное акционерное общество ""Полтавхиммаш""","ПАО ""Полтавхиммаш"""
1287,Открытое акционерное общество «Александровский машиностроительный завод»,ОАО «АМЗ»
1290,Грузовое вагонное депо Сарбанд ст.Курган-Тюбе,ВЧД-3 Сарбанд
1291,Закрытое акционерное общество «АзовЭлектроСталь»,ЗАО «АзовЭлектроСталь»
1292,"Общество с ограниченной ответственностью ""Тульский механический завод""","ООО ""ТМЗ"""
1293,"ООО ""СибТрансМаш""","ООО ""СибТрансМаш"""
1294,"ООО ""Центролит""","ООО ""Центролит"""
1295,"Участок по ремонту и испытанию гасителей колебаний цеха ЕТР ВЧД-2 ОАО ""Узжелдорпасс"" ГАЖК ""УТЙ""","ЕТР ВЧД-2 ОАО ""Узжелдорпасс"""
1296,Брянское вагоноремонтное депо – филиал ООО «Ф.Е.Транс»,Брянское ВРД ООО «Ф.Е.Транс»
1297,Общество с ограниченной ответственностью «Вагонно – колёсная мастерская»,ООО «ВКМ» г.Старый Оскол
1298,"Вагонные колесные мастерские Иртышское - ОСП Новосибирского филиала открытого акционерного общества ""Вагонная ремонтная компания-1""","ВКМ Иртышское ОАО ""ВРК-1"""
1299,Вагонно-эксплуатационный участок РЖУ Кунград ГАЖК «Узбекистон темир йуллари»,ВЭУ Кунград
1300,Общество с ограниченной ответственностью «ВагонДорМаш»,ООО «ВагонДорМаш»
1301,Товарищество с ограниченной ответственностью «КазКорГрупп»,ТОО «КазКорГрупп»
1302,Товарищество с ограниченной ответственностью «АГМ-ТАБЫС»,ТОО «АГМ-ТАБЫС»
1303,Открытое акционерное общество «Дизельный завод»,ОАО «Дизельный завод»
1304,Пермский филиал закрытого акционерного общества «ЛУКойл-Транс»,Пермский филиал ЗАО «ЛУКойл-Транс»
1305,Акционерное общество «Уральская вагоноремонтная компания»,АО «УВК»
1306,Товарищество с ограниченной ответственностью «Степногорск темир жолы»,ТОО «Степногорск темир жолы»
1307,"Общество с ограниченной ответственностью ""УсольеВагонМаш""","ООО ""УсольеВагонМаш"""
1308,"Общество с ограниченной ответственностью ""Электропром""","ООО ""Электропром"""
1309,"Алматинский филиал по ремонту пассажирских вагонов акционерного общества ""Вагонсервис""",ЛВЧДР-26
1310,"Открытое акционерное общество ""Центролит"", Украина, 44020, г. Сумы, ул. Брянская д.1","ОАО ""Центролит"""
1311,Открытое акционерное общество «Новокузнецкий вагоностроительный завод»,ОАО «НКВЗ»
1312,Вагонное депо Ставрополь – структурное подразделение ЗАО «Кав-Транс»,ВЧД Ставрополь
1313,"Открытое акционерное общество ""Металлист""",Металлист
1314,Общество с ограниченной ответственностью Вагоноремонтное предприятие «Новотранс»,ООО ВРП «Новотранс»
1315,Общество с ограниченной ответственностью «Орский вагонный завод»,Орский вагонный завод
1317,Публичное акционерное общество «Верхнеднепровский машиностроительный завод»,ПАО «ВМЗ»
1318,"Закрытое акционерное общество ""Научно-производственный комплекс ""Днепроспецмаш""""","ЗАО ""НПК ""Днепроспецмаш"""""
1319,"Закрытое акционерное общество ""Пермский пружинно-рессорный завод""","ЗАО ""ППРЗ"""
1320,"Общество с ограниченной ответственностью ""Редукторремсервис""","ООО ""РРС"""
1321,"Товарищество с ограниченной ответственностью ""Жана-Есил Феникс""","ТОО ""Жана-Есил Феникс"""
1322,"Открытое акционерное общество ""Новозыбковский машиностроительный завод""","ОАО ""Новозыбковский маш. завод"""
1323,Колёсно-роликовый цех Вяземская эксплуатационное вагонное депо Хабаровск-2,ВЧДЭ-1 Хабаровск-2
1324,"Рефрижераторное вагонное ремонтное депо Уссурийск - ОСП Новосибирского филиала открытого акционерного общества ""Вагонная ремонтная компания-1""","Реф. ВЧДр Уссурийск ОАО ""ВРК-1"""
1325,"Общество с ограниченной ответственностью ""ИТВ Транс""","ООО ""ИТВ Транс"""
1326,"Товарищество с ограниченной ответственностью ""Format Mach Company"" Инжиниринг-маркетинговая компания","ТОО ""FMC"""
1327,"Товарищество с ограниченной ответственностью ""Казахстанская вагоностроительная компания""","ТОО ""КВК"""
1328,"Товарищество с ограниченной ответственностью ""Алматы ВКМ Сервис""","ТОО ""Алматы ВКМ Сервис"""
1329,"Общество с ограниченной ответственностью ""Кузбасское вагоноремонтное предприятие ""Новотранс""","ООО ""КВРП ""Новотранс"""
1330,"Общество с ограниченной ответственностью ""Вагонмаш Плюс""","ООО ""Вагонмаш Плюс"""
1331,"ООО ""СпецВагонДеталь"" (Россия)","ООО ""СпецВагонДеталь"""
1332,"Открытое акционерное общество ""Вагоноремонтное предприятие ""Грязи""","ОАО ""ВРП ""Грязи"""
1333,"Общество с ограниченной ответственностью ""АрмаПром""","ООО ""АрмаПром"""
1334,"ОАО Лебединский машиностроительный опытно-экспериментальный завод ""Темп""","ОАО ""Лебединский МСОЭЗ ""Темп"""
1335,Товарищество с ограниченной ответственностью «Демпург-PNT»,ТОО «Демпург-PNT»
1336,Вагонноэксплуатационный участок (ВУ) Термез ГАЖК «УТЙ»,ПТО Термез
1337,Закрытое акционерное общество «НПО «НефтехГазМаш»,ЗАО «НПО «НефтехГазМаш»
1338,"Открытое акционерное общество ""Белорусский автомобильный завод""","ОАО ""БелАЗ"""
1339,"Общество с ограниченной ответственностью ""Уральские локомотивы""","ООО ""Уральские локомотивы"""
1341,Вагоноколесные мастерские станции Иланская Дирекции по эксплуатации и ремонту путевых машин Красноярской железной дороги,ВКМ станции Иланская
1342,Товарищество с ограниченной ответственностью «Айгера-Азия»,ТОО «Айгера-Азия»
1343,Вагоноколесные мастерские г. Уссурийск филиал Закрытого акционерного общества «Столичная Вагоноремонтная Компания»,ВКМ г. Уссурийск филиал ЗАО «СВРК»
1344,Общество с ограниченной ответственностью «Фреон-Сервис»,ООО «Фреон-Сервис»
1345,Закрытое акционерное общество «Вагоностроительный завод» г. Балаково,ЗАО «ВСЗ» г. Балаково
1346,Общество с ограниченной ответственностью «Брянский завод поглощающих аппаратов»,ООО «БЗПА»
1347,Общество с ограниченной ответственностью «Юргинский машиностроительный завод»,ООО «Юргинский машзавод»
1348,ООО «Керченский стрелочный завод»,"ООО «КСЗ» (г. Керчь, Украина)"
1349,Закрытое акционерное общество «Вологдаметаллострой»,ЗАО «Вологдаметаллострой»
1350,Общество с ограниченной ответственностью «Эксим»,ООО «Эксим»
1351,ООО «Луганский электромашиностроительный завод»,ООО «ЛЭМЗ»
1352,"Общество с ограниченной ответственностью ""Научно-производственный центр ""Пружина""","ООО ""НПЦ ""Пружина"""
1353,"Частное акционерное общество ""Нововолынский литейный завод"" (г. Нововолынск, Волынская обл., Украина)","ЧАО ""НЛЗ"" (г. Нововолынск)"
1354,Публичное акционерное общество «Свесский насосный завод»,ПАО «СНЗ» (пгт. Свесса)
1355,"Общество с ограниченной ответственностью ""АМСТЕД-РЕЙЛ""","ООО ""АМСТЕД-РЕЙЛ"""
1356,"Общество с ограниченной ответственностью «Южный механо-литейный завод» (г. Мариуполь, Украина)",ООО «ЮМЛЗ»
1357,Приватное акционерное общество «Донецксталь - металлургический завод»,ПрАО «ДМЗ» (г. Донецк)
1358,"ПАО «Рейл» (г. Малин, Украина)",ПАО «Рейл»
1359,Товарищество с ограниченной ответственностью «Фрейткар Компонентс»,ТОО «Фрейткар Компонентс»
1360,Открытое акционерное общество «САТУРН-1»,ОАО «САТУРН-1»
1361,"Публичное акционерное общество «Луганский литейно-механический завод» (г. Луганск, Украина)",ПАО «ЛЛМЗ» (г. Луганск)
1362,Закрытое акционерное общество «Фирма ТВЕМА»,ЗАО «Фирма ТВЕМА»
1363,Общество с ограниченной ответственностью «Запорожский сталелитейный завод»,ООО «ЗСЗ» (г. Запорожье)
1364,"Общество с ограниченной ответственностью «Восточно-украинская производственно-инженерная компания «Гранит» (г. Луганск, Украина)","ООО «ВУПИК «Гранит» (г. Луганск,Украина)"
1365,Общество с ограниченной ответственностью «Северо-Западное механическое объединение»,ООО «СЗМО»
1366,"Общество с ограниченной ответственностью ""Укржелдорпром""","ООО ""УЖДП"""
1367,Товарищество с ограниченной ответственностью «Береке 2004»,ТОО «Береке 2004»
1368,"Общество с ограниченной ответственностью ""Никопольский литейно-механический завод"" (г. Никополь, Украина)","ООО ""НЛМЗ"" (г. Никополь)"
1369,Открытое акционерное общество «Ритм» Тверское производство тормозной аппаратуры,ОАО «Ритм» ТПТА
1370,"Общество с ограниченной ответственностью «Укртранспневматика» (г. Лебедин, Украина)",ООО «Укртранспневматика»
1371,"Общество с ограниченной ответственностью ""Лозовской кузнично-механический завод"" (г.Лозовая, Харьковская область, Украина)","ООО ""ЛКМЗ"" (г.Лозовая, Харьковская обл.)"
1372,"Ремонтно-механическое депо Алзамай- обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-1""""","РМД Алзамай ОСП АО ""ВРК-1"""
1373,"Общество с ограниченной ответственностью ""Украинская литейная компания"" (г. Харьков, Украина)","ООО ""УЛК"" (г. Харьков, Украина)"
1374,Товарищество с ограниченной ответственностью «КазТехРесурс»,ТОО «КазТехРесурс»
1375,"Товарищество с ограниченной ответственностью ""Drive Industry""","ТОО ""Drive Industry"""
1376,Общество с ограниченной ответственностью «Брянковский завод бурового оборудования» (Украина),ООО «БЗБО»
1377,Государственное предприятие «Предприятие Холодногорской исправительной колонии Управления Государственного Департамента Украины по вопросам исполнения наказаний в Харьковской области (№ 18)»,ГП «ХИК № 18»
1378,Акционерное общество «Тихвинский вагоностроительный завод»,АО «ТВСЗ»
1379,Частное акционерное общество «Кировский кузнечный завод «Центрокуз» (Украина),ЧАО «ККЗ «Центрокуз»
1380,"Публичное акционерное общество «Харьковский подшипниковый завод» (г. Харьков, Украина)","ПАО «ХАРП» (г. Харьков, Украина)"
1381,АО «Руставский Металлургический Комбинат»,АО «РМК»
1382,"Общество с ограниченной ответственностью Научно-производственное предприятие «Укркомцентр» (г. Кременчуг, Украина)",ООО НПП «Укркомцентр»
1383,Общество с ограниченной ответственностью «Опытно-механический завод «Карпаты» (Украина),ООО «ОМЗ «Карпаты» (Украина)
1384,ООО «ЛК РЕГИОН-СТАЛЬ» (Украина),ООО «ЛК РЕГИОН-СТАЛЬ» (Украина)
1385,Филиал Акционерного общества «Сименс АГ»,Филиал АО «Сименс АГ»
1386,Общество с ограниченной ответственностью «Капер»,ООО «Капер»
1387,Общество с ограниченной ответственностью «Уральский пружинный завод»,ООО «Уральский пружинный завод»
1389,Совместное закрытое акционерное общество «Осиповичский вагоностpоительный завод»,СЗАО «ОВЗ»
1390,"Товарищество с ограниченной ответственностью ""Центр Азия Мануфактура""","ТОО ""Центр Азия Мануфактура"""
1391,Общество с ограниченной ответственностью «ПромТранспуть»,ООО «ПромТранспуть»
1392,Частное акционерное общество «Днепропромлит»,ЧАО «ДПЛ»
1393,Общество с ограниченной ответственностью «Муромский завод ТрансПутьМаш»,ООО «Муромский завод ТрансПутьМаш»
1394,Общество с ограниченной ответственностью «Завод «Промлит»,ООО «Завод «Промлит»
1395,Общество с ограниченной ответственностью «Завод «Прогресс 2000»,ООО «Завод «Прогресс 2000»
1396,Общество с ограниченной ответственностью «ПромЛит»,ООО «ПромЛит»
1397,Публичное акционерное общество «Одесский машиностроительный завод «Красная Гвардия»,ПАО «ОМЗ «Красная Гвардия»
1398,Общество с ограниченной ответственностью «Автономные источники питания»,ООО «АДС»
1399,Коммандитное общество «Донтехрезина и Компания»,КО «Донтехрезина и КО»
1400,Фирма «АВК»,Фирма «АВК»
1401,Общество с ограниченной ответственностью Торговый дом «Нижегородская железнодорожная компания»,ООО ТД «НЖК»
1402,Закрытое акционерное общество «Невьянский завод тормозного оборудования»,ЗАО «НЕЗТОР»
1403,Закрытое акционерное общество «Камско-Волжское акционерное общество резинотехники»,ЗАО «КВАРТ»
1404,Общество с ограниченной ответственностью «РемТрансМаш»,ООО «РТМ»
1405,Филиал Товарищества с ограниченной ответственностью «Камкор Локомотив» - «Аякозское локомотиворемонтное депо»,«Аякозское локомотиворемонтное депо»
1406,Акционерное общество «Востокмашзавод»,АО «Востокмашзавод»
1407,Общество с ограниченной ответственностью «ЕПК Бренко Подшипниковая Компания»,ООО «ЕПК Бренко Подшипниковая Компания»
1408,Товарищество с ограниченной ответственностью «СП Ритм КЗ»,ТОО «СП Ритм КЗ»
1409,Общество с ограниченной ответственностью «Харьковский аккумуляторный завод «ВЛАДАР»,ООО «ХАЗ «ВЛАДАР»
1410,Открытое акционерное общество «Уральский завод авто–текстильных изделий»,ОАО «УралАТИ»
1411,Общество с ограниченной ответственностью Производственно-коммерческая фирма «Стройтрансснаб»,ООО «ПКФ «Стройтрансснаб»
1412,ОсОО «Частная фирма Модуль»,ОсОО «Частная фирма Модуль»
1413,Публичное акционерное общество «Кировоградский завод гидравлических машин «Сахгидромаш»,ПАО «КЗГМ «Сахгидромаш»
1414,Вагоноколесная мастерская Закрытого акционерного общества «Бурлак»,ВКМ ЗАО «Бурлак»
1415,Общество с ограниченной ответственностью «ЛЛМЗ-КАМАХ»,ООО «ЛЛМЗ-КАМАХ»
1416,Открытое акционерное общество «Авиаагрегат»,ОАО «Авиаагрегат»
1417,Общество с ограниченной ответственностью «СотекКомЦентр»,ООО «СотекКомЦентр»
1418,Закрытое акционерное общество «Белорецкий завод рессор и пружин»,ЗАО «БЗРП»
1419,Открытое акционерное общество «ЕПК Саратов»,ОАО «ЕПК Саратов»
1420,Акционерное общество «Локомотив курастыру зауыты»,АО «ЛКЗ»
1421,Общество с ограниченной ответственностью научно-производственное предприятие «Вагонник»,ООО НПП «Вагонник»
1422,Открытое акционерное общество «Челябинский кузнечно-прессовый завод»,ОАО «ЧКПЗ»
1423,Вагоноремонтное депо Общества с ограниченной ответственностью «Сибирская Вагоноремонтная Компания»,ВРД «Сибирская Вагоноремонтная Компания»
1424,Акционерное общество «Степногорский подшипниковый завод»,АО «СПЗ»
1425,Товарищество с ограниченной ответственностью «Проммашкомплект»,ТОО «Проммашкомплект»
1426,Общество с ограниченной ответственностью «УкрЛат»,ООО «УкрЛат»
1427,Общество с ограниченной ответственностью «Промекспосервис»,ООО «Промекспосервис»
1428,"ООО Научно-производственное предприятие ""РИЧ"" (Украина)","ООО Научно-производственное предприятие ""Рич"""
1429,Общество с ограниченной ответственностью «Каширский вагоноремонтный завод «Новотранс»,ООО «КВРЗ «Новотранс»
1430,Общество с ограниченной ответственностью «ПРОДСЕРВИС»,ООО «ПРОДСЕРВИС»
1431,Открытое акционерное общество «Нижнекамскнефтехим»,ОАО «Нижнекамскнефтехим»
1432,Публичное акционерное общество «Бериславский машиностроительный завод»,ПАО «БМЗ»
1433,Общество с ограниченной ответственностью «Вагонно-колесная мастерская»,ООО «ВКМ»
1434,Воронежская опытная машинизированная дистанция пути Дирекции по эксплуатации и ремонту путевых машин Юго-Восточной дирекции инфраструктуры Центральной дирекции инфраструктуры - филиала ОАО «РЖД»,ОПЧМ Воронеж
1435,Акционерное общество «Семипалатинский машиностроительный завод»,АО «СМЗ»
1436,Общество с ограниченной ответственностью «ТехПромМаш»,ООО «ТехПромМаш»
1437,Общество с ограниченной ответственностью Научно-производственное предприятие «Циркон Сервис»,ООО НПП «Циркон Сервис»
1438,Общество с ограниченной ответственностью «Бородинский ремонтно-механический завод»,ООО «БРМЗ»
1439,Открытое акционерное общество «Саранский завод «Резинотехника»,ОАО «СЗРТ»
1440,Общество с ограниченной ответственностью «СКФ Тверь»,ООО «СКФ Тверь»
1441,"Общество с ограниченной ответственностью ""Транстехдеталь""","ООО ""Транстехдеталь"""
1442,Закрытое акционерное общество «Кронтиф-Центр»,ЗАО «Кронтиф-Центр»
1443,"Общество с ограниченной ответственностью ""ПромТехноЦентр"" (Россия)","ООО ""ПромТехноЦентр"""
1444,Закрытое акционерное общество Научно-Технический Центр «ТЕХИНДУСТРИЯ»,ЗАО НТЦ «ТЕХИНДУСТРИЯ»
1445,Пункт подготовки вагонов Екатеринбургского филиала Открытого акционерного общества «Первая грузовая компания»,ППВ Екатеринбургского филиала ОАО «ПГК»
1446,Общество с ограниченной ответственностью «Окский машиностроительный завод»,ООО «ОМЗ»
1447,ОсОО БПП «Рез-Би»,ОсОО БПП «Рез-Би»
1448,Общество с ограниченной ответственностью «Омский МиниВКМ»,ООО «Омский МиниВКМ»
1449,ООО «Кутаисский автомеханический завод»,ООО «Кутаисский автомеханический завод»
1450,"ООО ""Луганский завод ""Полимер"" (Украина)","ООО ""Луганский завод ""Полимер"""
1451,Общество с ограниченной ответственностью «Сумгаитский технологический парк»,ООО «СТП»
1452,Общество с ограниченной ответственностью «Руслан-комплект»,ООО «Руслан-комплект»
1453,Закрытое акционерное общество «Вологодский подшипниковый завод»,ЗАО «ВПЗ»
1454,Филиал общества с ограниченной ответственностью «ВагонТрансГрупп-Ч»,Филиал ООО «ВагонТрансГрупп-Ч»
1455,Общество с ограниченной ответственностью «Интер-РТИ»,ООО «Интер-РТИ»
1456,Общество с ограниченной ответственностью «Днепруниверсалкомплект»,ООО «ДУК»
1457,Общество с ограниченной ответственностью «С.В.В.-Сервис»,ООО «С.В.В.-Сервис»
1458,Закрытое акционерное общество «Тульский завод резиновых технических изделий»,ЗАО «Тульский завод РТИ»
1459,"Общество с ограниченной ответственностью ""Агрегатбуд""","ООО ""Агрегатбуд"""
1460,"Общество с ограниченной ответственностью ""Депо-ЕвроХим""","ООО ""Депо-ЕвроХим"""
1461,Открытое акционерное общество «Ярославский завод резиновых технических изделий»,ОАО «ЯзРТИ»
1462,"Моторвагонное депо Анисовка - структурное подразделение Приволжской дирекции МВПС - структурного подразделения Центральной дирекции МВПС - филиала ОАО ""РЖД""",Моторавагонное депо Анисовка
1463,"Частное предприятие ""Апрель"" (Украинаа)","ЧП ""Апрель"""
1464,"ЗАО ""Дорожник"" (Россия)","ЗАО ""Дорожник"""
1465,"ЗАО ""Луганские аккумуляторы"" (Украина)","ЗАОО ""Луганские аккумуляторы"""
1466,"Частное предприятие ""Древолюкс"" (Украина)","ЧП ""Древолюкс"""
1467,"Обособленное структурное подразделение ""Криворожский пассажирский вагонный участок""",ЛВЧ-2 Кривой Рог
1468,Моторвагонное депо Алтайская - структурное подразделение Западно-Сибирской дирекции МВПС,Моторвагонное депо Алтайская
1469,"ООО ""Пластмассы СПБ"" (Россия)","ООО ""Пластмассы СПБ"""
1470,"ООО ""Полимер"" (Украина)","ООО ""Полимер"""
1471,"Публичное акционерное общество ""Полтавский автоагрегатный завод"" (Украина)","ПАО ""Полтавский автоагрегатный завод"""
1472,"ОАО ""ЕПК-Москва"" (Россия)","ОАО ""ЕПК-Москва"""
1473,"Общество с ограниченной ответственностью ""Баскор-1"" (Украина)","ООО ""Баскор-1"""
1474,"Общество с ограниченной ответственностью ""Севербуммаш""","ООО ""Севербуммаш"""
1475,"Новочеркасская машинизированная дистанция пути по ремонту и эксплуатации путевых машин - структурное подразделение Северо-Кавказской дирекции инфраструкутуры"" (Россия)",Новочеркасская дистанция пути
1476,"Открытое акционерное общество ""Ковровский электромеханический завод"" (Россия)","ОАО ""Ковровский электромеханический завод"""
1477,"Публичное акционерное общество ""Токмацкий кузнечно-штамповочный завод""","ПАО ""ТКШЗ"""
1478,"Общество с ограниченной ответственностью ""Новые литейные технологии""","ООО ""НЛТ"""
1479,"Частное производственно-коммерческое предприятие ""Пружины Сервис""","ЧПКП ""Пружины Сервис"""
1480,"Частное предприятие ""Ось Ж""","ЧП ""Ось Ж"""
1481,"Общество с ограниченной ответственностью ""Проектно-конструкторское бюро ""Украинское машиностроение""","ООО ""ПКБ ""УМ"""
1482,"Частное акционерное общество ""Кременчугский ремонтно-механический завод""","ЧАО ""КРМЗ"""
1485,"Товарищество с ограниченной ответственностью ""Восток Полимер Снаб""","ТОО ""Восток Полимер Снаб"""
1486,"Товарищество с ограниченной ответственностью ""Востокремстроймонтаж""","ТОО ""Востокремстроймонтаж"""
1487,"Закрытое акционерное общество ""Балаково-Центролит""","ЗАО ""БЦЛ"""
1488,"Вагонное депо ""Великие Луки"" - филиал общества с ограниченной ответственностью ""ТрейнСервис""",ВЧД ООО ТрейнСервис
1489,"Частное предприятие ""Зализнычник""","ЧП ""Зализнычник"""
1490,"Общество с ограниченной ответственностью ""Спецвагонкомплект""","ООО ""Спецвагонкомплект"""
1491,"Открытое акционерное общество ""Литмаш""","ОАО ""Литмаш"""
1492,"Товарищество с ограниченной ответственностью ""Экибастузское моторо-вагонное депо""","ТОО ""ЭМВД"""
1493,"Государственное предприятие ""Харьковский машиностроительный завод ""ФЕД""","ГП ""ХМЗ ""ФЕД"""
1494,"Закрытое акционерное общество ""ДМИ-Редуктор""","ЗАО ""ДМИ-Редуктор"""
1495,"Общество с ограниченной ответственностью ""Инновационно-внедренческое предприятие Э.Дергачева""","ООО ""ИВП-ЭД"""
1496,"Закрытое акционерное общество ""Сплав-Модернизация""","ЗАО ""Сплав-М"""
1497,"Товарищество с ограниченной ответственностью ""ЭМИРЭЙТ""","ТОО ""ЭМИРЭЙТ"""
1498,"Общество с ограниченной ответственностью ""ВКМ СЕРВИС""","ООО ""ВКМ СЕРВИС"""
1499,"Товарищество с ограниченной ответственностью ""Запчасть-ЖД""","ТОО ""Запчасть-ЖД"""
1500,"Общество с ограниченной ответственностью ""Онежский тракторный завод""","ООО ""ОТЗ"""
1501,"Общество с ограниченной ответственностью ""Балтийская производственная компания ОКВЭЙ""","ООО ""ОКВЭЙ"""
1502,"Общество с ограниченной ответственностью ""Черниговский кузнечный завод""","ООО ""ЧКЗ"""
1503,Вагонно-эксплуатационный участок (ВЭУ) Самарканд,ВЭУ Самарканд
1504,"Общество с ограниченной ответственностью ""Центр ремонта железнодорожного транспорта","ООО ""ЦРЖТ"
1505,"Общество с ограниченной ответственностью ""Алтайский сталелитейный завод","ООО ""АСЛЗ"
1506,"Товарищество с ограниченной ответственностью ""СнабПромСервис","ТОО ""СнабПромСервис"
1507,"Обособленное структурное подразделение ""Джанкойское вагонное депо"" государственного предприятия ""Крымская железная дорога","ВЧД ""Джанкой"
1508,"Закрытое акционерное общество ""Производственное предприятие ""Урал","ЗАО ""ПП ""Урал"
1509,"Общество с ограниченной ответственностью ""Кнорр-Бремзе 1520"" (г. Тверь)","ООО ""КБ 1520"""
1510,"Общество с ограниченной ответственностью ""Кнорр-Бремзе 1520"" (г. Воронеж)","ООО ""КБ 1520"""
1511,"Общество с ограниченной ответственностью ""ТрансПриводТверь""","ООО ""ТрансПриводТверь"""
1512,"Общество с ограниченной ответственностью ""Научно-производственное объединение ""Наука""","ООО ""НПО ""Наука"""
1513,"Общество с ограниченной ответственностью ""Белоцерковский завод ""Трибо","ООО ""БЦ з-д ""Трибо"
1514,"Общество с ограниченной ответственностью ""Менеджмент и Консалтинг","ООО ""Менеджмент и Консалтинг"
1515,"Общество с ограниченной ответственностью ""Волглдонский завод энергетического и газового оборудования","ООО ""ВЗЭГО"
1516,"Общество с ограниченной ответственностью ""Транспортная техника","ООО ""Транспортная техника"
1517,"Общество с ограниченной ответственностью Научно-производственное предприятие ""Вагонник"" в г.Березовский","ООО НПП ""Вагонник"
1518,"Общество с ограниченной ответственностью Научно-производственное предприятие ""Вагонник"" в г.Касли","ООО НПП ""Вагонник"
1519,"Открытое акционерное общество ""Контур","ОАО ""Контур"
1520,"Акционерное общество ""Центральное конструкторское бюро транспортного машиностороения""","АО ""ЦКБ ТМ"""
1521,"Общество с ограниченной ответственностью ""Каменский завод транспортного машиностроения","ООО ""КЗТМ"
1522,"Ремонтно-сервисный участок г.Агрыз Республика Татарстан Юго-Восточного филиала открытого акционерного общества ""Калужский завод ""Ремпутьмаш","ОАО ""КЗ ""РПМ"
1523,"Общество с ограниченной ответственностью ""Железногорский опытный завод","ООО ""ЖОЗ"
1524,Закрытое акционерное общество Научно-производственный центр информационных и транспортных систем в Димитровградском филиале,ЗАО НПЦ ИНФОТРАНС
